 Step |                              System                           |                           Environment                         
1     |   s0 ---------a(Failure)---------> s1                         |   e0 ---------b(Random)---------> e1                          
2     |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
3     |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
4     |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
5     |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
6     |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
7     |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
8     |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
9     |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
10    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
11    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
12    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
13    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
14    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
15    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
16    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
17    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
18    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
19    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
20    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
21    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
22    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
23    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
24    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
25    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
26    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
27    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
28    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
29    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
30    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
31    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
32    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
33    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
34    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
35    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
36    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
37    |   s2 ---------d(Success)---------> s0                         |   e5 ---------d(Success)---------> e1                         
38    |   s0 ---------a(Success)---------> s1                         |   e1 ---------a(Success)---------> e4                         
39    |   s1 ---------d(Success)---------> s2                         |   e4 ---------d(Success)---------> e5                         
